,activityID,sourceLocation,latitude,longitude,halfAngle,speed,type,note
0,2010-04-03T09:54:00-CME-001,S20E05,7.0,8.0,26.0,620.0,C,SDO images were unavailable. CME source location determined using SOHO EIT 195. Significant dimming at time of eruption followed by post eruption arcades.
1,2010-06-13T07:32:00-CME-001,,17.0,117.0,30.0,500.0,C,"http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100613_0000&etime=20100614_2300

real-time detecting instruments unknown"
2,2010-06-20T03:18:00-CME-001,,-13.0,-80.0,20.0,570.0,C,
3,2010-07-03T01:30:00-CME-001,,-4.0,35.0,23.0,625.0,C,"http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100703_0000&etime=20100703_2300

real-time detecting instruments unknown"
4,2010-07-08T22:30:00-CME-001,,-15.0,126.0,20.0,290.0,S,"http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100708_2000&etime=20100709_2300

real-time detecting instruments unknown"
5,2010-07-29T08:24:00-CME-001,,-19.0,-71.0,21.0,350.0,S,"real-time detecting instruments unknown

minor CME

http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100729_0000&etime=20100730_2300

http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20100729_0000&etime=20100730_2300"
6,2010-07-30T07:30:00-CME-001,,12.0,-68.0,48.0,750.0,C,
7,2010-08-01T02:42:00-CME-001,,7.0,-22.0,48.0,760.0,C,
8,2010-08-01T08:20:00-CME-001,,18.0,-48.0,38.0,1300.0,O,
9,2010-08-01T10:10:00-CME-001,,0.0,1.0,40.0,550.0,C,
10,2010-08-01T23:54:00-CME-001,,40.0,-145.0,35.0,686.0,C,"http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100801_0000&etime=20100802_2300


real-time detecting instruments unknown"
11,2010-08-06T00:00:00-CME-001,,13.0,41.0,20.0,300.0,S,"http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100806_0000&etime=20100806_2300

real-time detecting instruments unknown"
12,2010-08-07T17:00:00-CME-001,,-3.0,-46.0,27.0,750.0,C,
13,2010-08-14T10:12:00-CME-001,,-7.0,46.0,35.0,950.0,C,"real-time detecting instruments unknown

http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100814_0000&etime=20100814_2300"
14,2010-08-15T08:12:00-CME-001,,28.0,35.0,30.0,620.0,C,real-time detecting instruments unknown
15,2010-08-18T06:00:00-CME-001,,-6.0,92.0,40.0,1250.0,O,
16,2010-08-27T10:24:00-CME-001,,-40.0,67.0,30.0,780.0,C,"real-time detecting instruments unknown


http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100827_0000&etime=20100827_2300"
17,2010-08-31T21:20:00-CME-001,,-35.0,145.0,28.0,1200.0,O,
18,2010-09-04T15:25:00-CME-001,,3.0,20.0,50.0,400.0,S,
19,2010-09-08T23:26:00-CME-001,,8.0,96.0,45.0,850.0,C,"real-time detecting instruments unknown


http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100908_2200&etime=20100909_2300"
20,2010-09-10T23:30:00-CME-001,,20.0,-20.0,35.0,410.0,S,
21,2010-09-22T05:00:00-CME-001,,22.0,-67.0,30.0,650.0,C,"real-time detecting instruments unknown

http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100921_2200&etime=20100922_2300"
22,2010-09-30T23:38:00-CME-001,,42.0,144.0,25.0,460.0,S,"real-time detecting instruments unknown

http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20100930_2200&etime=20101001_2300"
